id,Tiêu đề,Giá,Khoảng giá min,Khoảng giá max,Địa chỉ,Mô tả chi tiết,Thương hiệu,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Trọng lượng,Href
3396,cần bán lead,13.500.000 đ,15.31 tr,17.98 tr,"Phường 28, Quận Bình Thạnh, Tp Hồ Chí Minh","Xe máy móc êm nguyên zin , có trày bên trong đã dán decal đổi màu xịn , xe đang đứng uỷ quyền lần 2 , có fixx cafe cho anh em nào nhanh lẹ !",Honda,Lead,2014,123456,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-binh-thanh-tp-ho-chi-minh/123639796.htm
4326,SHVN 150 CBS 2017 smartkey. Bs.HCM,60.000.000 đ,,64.8 tr,"Phường 7, Quận Tân Bình, Tp Hồ Chí Minh","SHVN 2017 150 CBS smartkey
Biển số HCM
Odo 32k km.
Xe to nên làm biếng lấy đi
Xe 1 đời chủ chính chủ đứng tên.
Giá 6o triệu.
Chỉ ký mua bán. Giao xe là tháo biển thu hồi nhen. 
Xem và gd tại nhà Bành Văn Trân. Tân bình
----
* dàn áo có sơn phủ lớp bóng camay tím
* 2 vỏ MIC thay lúc tầm 28k km
* Km 31k (10.2023) dợ xách hãng bảo dưỡng và điệp khúc tư vấn của hãng : thay thay thay. Túm lại thay nguyên bộ nồi mới tinh hết 6 triệu mấy. Rồi vứt xó tới giờ :D còn Hóa Đơn head honda",Honda,SH,2017,32000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-tan-binh-tp-ho-chi-minh/123480704.htm
3828,"Xe đẹp, còn zin",6.000.000 đ,5.75 tr,6.75 tr,"Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh","Xe đẹp, máy êm, còn zin từ A ĐẾN Z 
Có cccd của chủ xe 
 LH ***",Yamaha,Mio,2007,100000,Đã sử dụng,Tay ga,50 - 100 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/123770536.htm
3455,Wave YMH 50 cc,3.300.000 đ,8.65 tr,10.15 tr,"Phường 24, Quận Bình Thạnh, Tp Hồ Chí Minh","Nhà chật cần bán xe 48 cm cho học sinh đi học, xe máy im ru đặc biệt chưa rớt đầu
Bán tại nhà viết giấy tay bao tranh chấp,giá trên rẽ bèo rồi nên chỉ bớt xăng thôi nhe
xXem và mua xe 375 bạch đằng f 15 bình thạnh tphcm
Đt tuớc kho đến ,đa tạ!",Honda,Wave,2015,32000,Đã sử dụng,Xe số,Dưới 50 cc,Đài Loan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-binh-thanh-tp-ho-chi-minh/123487435.htm
510,53535 Chính chủ ký ủy quyền cho ae chơi thoải mái,123.456.789 đ,15.9 tr,18.67 tr,"Phường 11, Quận 6, Tp Hồ Chí Minh","Air Blade đk 2015 bstp 2 phím chính chủ ký ủy quyền cho ae chơi 
√ dàn áo đẹp long lanh 
√ ốc tán sáng trưng 
 Máy móc nguyên zin bao êm ( bao test) 
chìa khóa theo xe đủ 2 chìa",Honda,Air Blade,2015,25,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-6-tp-ho-chi-minh/124728928.htm
677,"CBR150R HRC Biển HCM (Ký mua bán, không uỷ quyền)",43.000.000 đ,82.58 tr,96.94 tr,"Phường 11, Quận 6, Tp Hồ Chí Minh","Giá xe không bao hồ sơ sang tên, còn thương lượng
Xe dắt hãng 1 chủ đăng ký lần đầu tháng 11/2023
ODO ~ 15k
Đồ zin còn đủ
Đồ chơi đi kèm: 
- Lốp sau Michellin pilot street 140/70-17
- Cùm công tắc CB1000R tắt máy khẩn cấp, tắt đèn pha
- Kính gió cao Thái Lan
- Cặp tay côn/thắng RCB chính hãng
- Chống đổ gù to chưa trầy chưa ngã
- Pát nâng gác chân
- Lên tem trùm nguyên xe sử dụng chưa được 2 tháng còn rất mới
- Nhông sên đĩa full bộ recto mới thay

Tặng kèm ben nâng xe M-biker hàng xịn chuyên nâng xe nhỏ không cần ốc ben nâng",Honda,CBR,2023,15000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-6-tp-ho-chi-minh/123012735.htm
3413,Cúp 50cc . Chính chủ,7.800.000 đ,7.14 tr,8.38 tr,"Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh",Dư dùng cần thanh lý chiếc cúp 50cc. Biển số thành phố.Chính Chủ.1 đời chủ sử dụng.xe còn rất đẹp.nguyên bản.ae nào cần liên hệ nha,Halim,Dòng khác,2019,228465,Đã sử dụng,Xe số,Dưới 50 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-binh-thanh-tp-ho-chi-minh/123567914.htm
80,cần bán lead 4val 2023,39.000.000 đ,35.87 tr,42.11 tr,"Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh","Cần bán lead 2023
Xe chính chủ
Bs HCM Tân Phú",Honda,Lead,2023,15000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123546864.htm
1264,Xe chính chủ ủy quyền ae có nhá ý liên hệ e ạ,15.600.000 đ,13.75 tr,16.14 tr,"Phường 4, Quận 8, Tp Hồ Chí Minh",Xe đã qua sử dụng máy móc bao êm keo nguyên con từ khi mua chưa gỡ,Honda,Winner,2017,9999,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-8-tp-ho-chi-minh/123750107.htm
1176,xe winner x v3 abs bstp chính chủ kí bán,27.500.000 đ,24.85 tr,29.17 tr,"Phường 10, Quận 8, Tp Hồ Chí Minh","Xe đang trong trình trạng hoàn hảo 
Xe có làm yên kymdan gù sh350",Honda,Winner X,2023,30000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-8-tp-ho-chi-minh/124461620.htm
1650,Cần bán xe suppe Dream 110cc 2016,25.000.000 đ,10.08 tr,11.83 tr,"Phường 4, Quận 11, Tp Hồ Chí Minh",Cần bán xe suppe Dream 110cc đẹp như hình .tiếc kiệm xăng máy êm.xe chỉ đi làm và cafe vòng vòng nhà.qua xem xe thích ngay,Honda,Dream,2016,15000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/124847278.htm
2264,"Vison nhà chạy kỹ , xem xe q12",10.500.000 đ,10.54 tr,12.37 tr,"Phường Thới An, Quận 12, Tp Hồ Chí Minh","👉 Honda tay ga nữ , máy rin , giấy tờ đầy đủ , xe nhà chạy kỹ 👉 xem xe q12
👉Bao tranh chấp 
👉 Giá : 10tr500",Honda,Vision,2012,1500,Đã sử dụng,Tay ga,50 - 100 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-12-tp-ho-chi-minh/123475535.htm
7103,"Wave Alpha 2002 lốc đen, máy móc nguyên zin",15.500.000 đ,10.55 tr,12.38 tr,"Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","Xe phụ nữ đi nên rất kĩ
Máy móc zin chưa đụng chạm 
xe còn rất đẹp 
Giấy tờ bao tranh chấp, có làm giấy mua bán với chủ",Honda,Wave,2002,59000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-huyen-nha-be-tp-ho-chi-minh/124469805.htm
178,Xe win độ tracker,7.500.000 đ,3.4 tr,4 tr,"Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh","Xe mới độ 1 năm, bill đính kèm (Đi Vũng tàu 1 lần). Giấy tờ đầy đủo",Honda,Win,2000,1000,Đã sử dụng,Tay côn/Moto,50 - 100 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/123321480.htm
1980,✔️ EXCITER 55P DỌN FOM 2010,22.500.000 đ,13.86 tr,16.27 tr,"Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh","EXCITER 135 DỌN FOM 2010

MÁY ZIN SIÊU ÊM

XE DỌN MỚI SƠN XI NGUYÊN CON",Yamaha,Exciter,2014,10000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-12-tp-ho-chi-minh/124286243.htm
1719,Cần nhường lại xe supe dream 110cc,25.000.000 đ,10.08 tr,11.83 tr,"Phường 4, Quận 11, Tp Hồ Chí Minh",Xe nhà đi còn rất mới bảo dưỡng hàng tháng đi nhẹ tiết kiệm xăng.. Xe bản kỷ niệm.. Mới thay vỏ michelin xe đủ phụ kiện 2 kiến 2 chìa..sang tên 1 nốt nhạc bs saigon,Honda,Dream,2016,19000,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-11-tp-ho-chi-minh/123697400.htm
133,Xe zin chưa đụng chạm,20.000.000 đ,32.11 tr,37.7 tr,"Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",Cần tiền bân gấp công chứng sang tên trong ngày ưu tiên ai gọi trước kh nhận tin nhắn,Honda,Vario,2021,10000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/119019433.htm
4276,HONDA BLADE MỚI,9.500.000 đ,9.35 tr,10.98 tr,"Phường 1, Quận Tân Bình, Tp Hồ Chí Minh","Dư dùng nên thanh lý chiếc xe Honda Blade như hình, mua mới một đời chủ 2018, xe còn mới odo mới chạy hơn 35k km,chỉ đi chợ và chở con đi học nên xe còn rất ok, mới bảo dưỡng thay nhớt, mua về là chạy thôi, chính chủ và chỉ bán cho khách công chứng sang tên ngay nhé, không bán theo hình thức ủy quyền, xin mời ACE ủng hộ",Honda,Blade,2018,35000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-tan-binh-tp-ho-chi-minh/124466119.htm
4752,Honda Lead Kiểng bstp cặp đẹp,36.500.000 đ,24.11 tr,28.3 tr,"Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh","Xe nhà sử dụng cần bán lại cho anh em đam mê dòng này

Xe biển số thành phố chính chủ biển số cặp siêu đẹp 

Xe trước mình dọn kiểng up dàn áo lead 4val

Phuộc Ohlins Real còn full box 

Cùm tăng tốc domino Real

Tay thắng TBT Real

Yên xe nệm Kymdan bao êm cho anh em đi xa

Full dàn chống đứng inox

Full ốc inox salaya

Xe đang sử dụng hằng ngày máy êm nguyên zin chưa rớt đầu, đúng odo zin

Anh em thiện chí alo mình, fix cf nhanh lẹ",Honda,Lead,2019,27000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-tan-phu-tp-ho-chi-minh/123725740.htm
3241,xe MOTO 300cc-1000cc,80.000.000 đ,26.85 tr,31.52 tr,"Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh","Tìm mua xe moto 300cc-1000cc để chạy trải nghiệm
Hcm quá tốt người dùng
Mua nhanh gọn lẹ giá thương lượng",Yamaha,Dòng khác,2019,10000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-binh-thanh-tp-ho-chi-minh/124812052.htm
7035,Dư dùng SH 150i - 2018,72.000.000 đ,57.96 tr,68.03 tr,"Xã Bà Điểm, Huyện Hóc Môn, Tp Hồ Chí Minh","Xe như hình - cạt vẹt chính chủ - công chứng sang tên ngay
Máy chưa đụng tới - nguyên zin đang sử dụng - không lổi nhỏ - bao thợ thầy kiểm tra",Honda,SH,2018,38400,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-huyen-hoc-mon-tp-ho-chi-minh/123204944.htm
497,"Đăng dùm ông anh tại quận 5, Sh 2018 cbs zin",65.000.000 đ,58.13 tr,68.25 tr,"Phường 5, Quận 5, Tp Hồ Chí Minh","Xe cbs, chính chủ công chứng hay uỷ quyền đều được
Xe bstp, máy móc bao zin, mua bán xem xe tại nhà chính chủ, xe còn thương lượng nhẹ
Liên hệ:",Honda,SH,2018,50000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-5-tp-ho-chi-minh/123191519.htm
2856,cần ra đi,17.000.000 đ,15.17 tr,17.81 tr,"Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh","Ex150 2015
Dàn ngoài nguyên zin
Máy móc đầu chưa rớt, nồi rớt bảo dưỡng
Giấy tờ chính chủ uỷ quyền sang tên đều được
Có hỗ trợ cho ae sang tên
Giá:17đ bớt lộc cho ae nhanh lẹ.",Yamaha,Exciter,2015,12345,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-binh-tan-tp-ho-chi-minh/123664925.htm
3363,Xe máy êm mạnh mẽ cần bán,3.500.000 đ,6.48 tr,7.61 tr,"Phường 14, Quận Bình Thạnh, Tp Hồ Chí Minh",Xe máy êm cực kỳ zin toàn bộ anh em mua hay trao đổi với nhậu cùng được hãy gọi điện thoại cho chủ cần ơn các cháu,Yamaha,Sirius,2010,39700,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-binh-thanh-tp-ho-chi-minh/123693554.htm
7172,Xe Wave Alpha 2004 dàn áo zin Thái,11.000.000 đ,11.52 tr,13.52 tr,"Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","Máy móc tốt , mua sử dụng ngay 
xem xe tại Nhà Bè TPHCM
Giấy tờ công chứng uỷ quyền",Honda,Wave,2004,11000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-huyen-nha-be-tp-ho-chi-minh/123488314.htm
6213,Winner siêu đẹp Biển 72,11.800.000 đ,13.75 tr,16.14 tr,"Xã Hưng Long, Huyện Bình Chánh, Tp Hồ Chí Minh","Cần bán lại winner dàn ngoài như hình siêu đẹp 
Máy móc zin chưa rớt đầu êm ru
Biển số 72 vủng tàu có giấy bán cửa hàng bao tranh chấp",Honda,Winner,2017,19000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-huyen-binh-chanh-tp-ho-chi-minh/123681842.htm
2183,PCX+Honda+2017+long chuot+moiQ.w,35.000.000 đ,29.76 tr,34.94 tr,"Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","Xuất sứ Việt Nam mới 
hết bảo hành 
16/24 Ds3 p9 tphcm 
7Nam 
bao tri 6t lần 
giấy tö chính chủ",Honda,PCX,2017,48000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-12-tp-ho-chi-minh/123649741.htm
1570,xe trùm mền,32.000.000 đ,29.9 tr,35.1 tr,"Phường 4, Quận 10, Tp Hồ Chí Minh","xe trùm mền .ko sử dụng nên bán .
đk 2024 .
 1.200 km 
chính chủ 
lh *** mr linh",Honda,Vision,2024,1200,Đã sử dụng,Tay ga,Đang cập nhật,Bảo hành hãng,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-10-tp-ho-chi-minh/123352129.htm
4340,wave blade,8.000.000 đ,9.83 tr,11.54 tr,"Phường 13, Quận Tân Bình, Tp Hồ Chí Minh","cần bán wave blảde không chính chủ, bao tranh chấp, xe máy móc zin êm, dàn ngòai ok, giá 8tr liên hệ *** xem xe ở tân bình",Honda,Wave,2017,54000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-tan-binh-tp-ho-chi-minh/123792319.htm
5507,xe trùm mền chạy êm,8.000.000 đ,6.84 tr,8.03 tr,"Phường Tân Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Xe trùm mền km đúng .cavet hợp lệ. Không chính chủ,Piaggio,Liberty,2012,46000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-thanh-pho-thu-duc-tp-ho-chi-minh/123683450.htm
2216,xe đang đi cần bán gấp,5.500.000 đ,3.91 tr,4.59 tr,"Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh","xe wave nhỏ trung quốc xe đi êm dàn áo mới tay cháo đèn 2 tầng,lên đc ít ít đồ chơi",Hãng khác,Dòng khác,2011,1000,Đã sử dụng,Xe số,50 - 100 cc,Trung Quốc,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-12-tp-ho-chi-minh/123583306.htm
5213,Exciter 155 vva,35.000.000 đ,26.16 tr,30.71 tr,"Phường Linh Xuân (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","Xe 9 chủ, biển tỉnh, lên vài món đồ chơi. Giá còn thương lượng. Ae thiện chí alo số ***. Hoặc nhắn zaloo cũng đc.",Yamaha,Exciter,2021,60000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-thanh-pho-thu-duc-tp-ho-chi-minh/124561381.htm
757,cần bán dream super,21.000.000 đ,10.08 tr,11.83 tr,"Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh","Dream Super 2016 uy quyèn lần 1
giao dịch quận 7",Honda,Dream,2016,45000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-7-tp-ho-chi-minh/124767339.htm
2023,CB400 Super Four Cafe,76.000.000 đ,303.6 tr,356.4 tr,"Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh","Mình cần bán Cb400 vtec3.
Máy móc êm zin, mọi chức năng còn hoạt động tốt.
Giấy tờ ca thanh lý 1 chỗ, biển Ninh Thuận, đi hợp pháp toàn quốc.
Xe độ tâm huyết, đã gắn bó với mình khá lâu.
Giá 7x
Xem xe tại Nguyễn Văn Quá, Q12, TPHCM
LH: ***",Honda,CB,2006,25000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-12-tp-ho-chi-minh/123992271.htm
1043,Jupiter 2013 xe zin có CCCd chủ xe cũ,10.200.000 đ,7.7 tr,9.04 tr,"Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh","Dư dùng bán lại
Xe mới thay vỏ sau
Máy móc zin
Êm ru
Xe có phun xăng điện tử nên tiết kiệm lắm
Máy móc zin êm chạy thoải mái
Xe có Cavet và CCCd chủ xe nên yên tâm nguồn gốc ạ
Bán tại nhà viết giấy tay bao tranh chấp nguồn gốc",Yamaha,Jupiter,2013,500000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-7-tp-ho-chi-minh/123267938.htm
1222,Xe Satria 206 id85 xe chùm mềm mới y hình,219.000.000 đ,251.13 tr,294.81 tr,"Phường 15, Quận 8, Tp Hồ Chí Minh","Xe Satria 206 id85.mình đang đứng tên sang tên toàn quốc
Xe mới máy êm",Suzuki,Satria,2006,44000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-8-tp-ho-chi-minh/124017377.htm
7162,cần bán vario 150 giá 25 triệu,25.000.000 đ,41.35 tr,48.54 tr,"Xã Hiệp Phước, Huyện Nhà Bè, Tp Hồ Chí Minh","Xe chinh chủ ngoại hình xấu 
Đời 2018 
Cần bán hoạt giao lưu sh mode
Lh xem xe ***",Honda,Vario,2018,800000,Đã sử dụng,Tay ga,100 - 175 cc,Ấn Độ,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-huyen-nha-be-tp-ho-chi-minh/123551529.htm
4255,em cần bán gấp,143.333.333 đ,133.06 tr,156.2 tr,"Phường 8, Quận Tân Bình, Tp Hồ Chí Minh",Xe như hình máy móc nguyên zin bstp sang tên 1 phút 1,Kawasaki,Z1000,2014,250000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-tan-binh-tp-ho-chi-minh/124882404.htm
